node_id_1,node_id_2,distance
7001,7002,106
7001,7003,212
7001,7004,703
7001,7005,147
7001,7006,252
7001,7007,358
7001,7008,828
7001,7009,608
7001,7010,294
7001,7011,398
7001,7012,504
7001,7013,601
7001,7014,544
7001,7015,440
7001,7016,544
7001,7017,558
7001,7018,650
7001,7019,691
7001,7020,587
7001,7021,638
7001,7022,798
7001,7023,839
7001,7024,733
7001,7025,783
7001,7026,943
7001,7027,984
7001,7028,879
7001,7029,930
7001,7030,1090
7001,7031,1142
7001,7032,1126
7001,7033,1025
7001,7034,1076
7001,7035,1235
7001,7036,1171
7001,7037,1222
7001,7038,1382
7001,7039,1317
7001,7040,1364
7002,7001,106
7002,7003,106
7002,7004,597
7002,7005,253
7002,7006,146
7002,7007,251
7002,7008,934
7002,7009,502
7002,7010,400
7002,7011,292
7002,7012,397
7002,7013,707
7002,7014,650
7002,7015,547
7002,7016,438
7002,7017,486
7002,7018,543
7002,7019,796
7002,7020,693
7002,7021,587
7002,7022,692
7002,7023,942
7002,7024,836
7002,7025,731
7002,7026,837
7002,7027,1089
7002,7028,985
7002,7029,879
7002,7030,984
7002,7031,1036
7002,7032,1231
7002,7033,1130
7002,7034,1025
7002,7035,1129
7002,7036,1277
7002,7037,1171
7002,7038,1276
7002,7039,1423
7002,7040,1313
7003,7001,212
7003,7002,106
7003,7004,702
7003,7005,359
7003,7006,252
7003,7007,146
7003,7008,1040
7003,7009,608
7003,7010,506
7003,7011,397
7003,7012,292
7003,7013,813
7003,7014,756
7003,7015,652
7003,7016,543
7003,7017,592
7003,7018,438
7003,7019,902
7003,7020,799
7003,7021,692
7003,7022,586
7003,7023,1047
7003,7024,942
7003,7025,837
7003,7026,731
7003,7027,1194
7003,7028,1088
7003,7029,984
7003,7030,878
7003,7031,930
7003,7032,1334
7003,7033,1234
7003,7034,1129
7003,7035,1023
7003,7036,1381
7003,7037,1275
7003,7038,1170
7003,7039,1525
7003,7040,1417
7004,7001,494
7004,7002,597
7004,7003,703
7004,7005,347
7004,7006,451
7004,7007,557
7004,7008,231
7004,7009,95
7004,7010,200
7004,7011,304
7004,7012,409
7004,7013,300
7004,7014,243
7004,7015,347
7004,7016,453
7004,7017,502
7004,7018,558
7004,7019,390
7004,7020,493
7004,7021,544
7004,7022,706
7004,7023,537
7004,7024,639
7004,7025,689
7004,7026,851
7004,7027,681
7004,7028,785
7004,7029,836
7004,7030,998
7004,7031,992
7004,7032,827
7004,7033,932
7004,7034,983
7004,7035,1143
7004,7036,1077
7004,7037,1128
7004,7038,1290
7004,7039,1223
7004,7040,1271
7005,7001,147
7005,7002,253
7005,7003,358
7005,7004,641
7005,7006,107
7005,7007,212
7005,7008,681
7005,7009,462
7005,7010,147
7005,7011,251
7005,7012,358
7005,7013,454
7005,7014,397
7005,7015,294
7005,7016,363
7005,7017,412
7005,7018,468
7005,7019,545
7005,7020,440
7005,7021,491
7005,7022,653
7005,7023,692
7005,7024,586
7005,7025,636
7005,7026,798
7005,7027,837
7005,7028,732
7005,7029,783
7005,7030,945
7005,7031,939
7005,7032,979
7005,7033,879
7005,7034,930
7005,7035,1090
7005,7036,1024
7005,7037,1075
7005,7038,1237
7005,7039,1170
7005,7040,1218
7006,7001,252
7006,7002,146
7006,7003,252
7006,7004,451
7006,7005,107
7006,7007,106
7006,7008,825
7006,7009,356
7006,7010,251
7006,7011,146
7006,7012,252
7006,7013,598
7006,7014,542
7006,7015,438
7006,7016,291
7006,7017,340
7006,7018,398
7006,7019,650
7006,7020,545
7006,7021,440
7006,7022,547
7006,7023,796
7006,7024,690
7006,7025,585
7006,7026,692
7006,7027,943
7006,7028,837
7006,7029,733
7006,7030,838
7006,7031,890
7006,7032,1085
7006,7033,984
7006,7034,879
7006,7035,983
7006,7036,1131
7006,7037,1024
7006,7038,1130
7006,7039,1277
7006,7040,1167
7007,7001,358
7007,7002,251
7007,7003,146
7007,7004,556
7007,7005,212
7007,7006,106
7007,7008,931
7007,7009,462
7007,7010,359
7007,7011,251
7007,7012,146
7007,7013,704
7007,7014,648
7007,7015,506
7007,7016,397
7007,7017,446
7007,7018,292
7007,7019,756
7007,7020,651
7007,7021,546
7007,7022,441
7007,7023,902
7007,7024,796
7007,7025,691
7007,7026,586
7007,7027,1048
7007,7028,943
7007,7029,838
7007,7030,733
7007,7031,784
7007,7032,1188
7007,7033,1088
7007,7034,983
7007,7035,877
7007,7036,1235
7007,7037,1129
7007,7038,1024
7007,7039,1380
7007,7040,1272
7008,7001,534
7008,7002,638
7008,7003,743
7008,7004,231
7008,7005,388
7008,7006,491
7008,7007,598
7008,7009,136
7008,7010,241
7008,7011,345
7008,7012,450
7008,7013,341
7008,7014,284
