block_id,block_name,longitude_1,latitude_1,longitude_2,latitude_2,node_id_1,node_id_2,no_blocks,operational,distance_text,distance_value,duration_text,duration_value
326032,"Beach St (300-398)",37.8075075438,-122.4141933213,37.8073556628,-122.4154033394,7024,7028,1,11,"0.1 km",146,"1 min",28
562262,"Mason St (2600-2698)",37.807651378,-122.4139398511,37.8082790183,-122.4140685979,7027,7028,2,8,"0.1 km",105,"1 min",32
562261,"Mason St (2601-2699)",37.8075880105,-122.414061557,37.8081502716,-122.4141772279,7027,7028,2,6,"0.1 km",105,"1 min",32
562252,"Mason St (2500-2598)",37.8067069,-122.4137507544,37.8073456045,-122.4138815128,7028,7029,1,8,"0.1 km",105,"1 min",32
585042,"North Point St (400-498)",37.8065620599,-122.4142667471,37.806428284,-122.4153007443,7025,7029,2,6,"0.1 km",147,"1 min",32
585041,"North Point St (401-499)",37.8064715349,-122.4139016295,37.8062924965,-122.415290686,7025,7029,2,14,"0.1 km",147,"1 min",32
325042,"Bay St (400-498)",37.8056729028,-122.4137497485,37.8055441561,-122.4147978274,7026,7030,2,11,"0.1 km",147,"1 min",22
325041,"Bay St (401-499)",37.8055280628,-122.4137316435,37.805369141,-122.4150221283,7026,7030,2,19,"0.1 km",147,"1 min",22
562241,"Mason St (2401-2499)",37.8057272179,-122.4136843693,37.8064182257,-122.4138271977,7029,7030,2,12,"0.1 km",105,"1 min",36
562242,"Mason St (2400-2498)",37.8057543754,-122.4135546168,37.8063236773,-122.4136712935,7029,7030,2,10,"0.1 km",105,"1 min",36
562231,"Mason St (2351-2399)",37.8053661235,-122.4136310601,37.8054848119,-122.4136552002,7030,7031,1,3,"52 m",52,"1 min",11
847001,"Jefferson St (1-99)",37.8085375176,-122.4127710722,37.8083856367,-122.4139871253,7027,7032,1,17,"0.1 km",146,"1 min",64
326022,"Beach St (200-298)",37.8077268155,-122.4124924562,37.8075578354,-122.4138181452,7028,7033,1,8,"0.1 km",147,"1 min",37
